m,n,A1,A2,A3
0.0,0.0,-0.013906328548123084,-0.01060168883442724,-0.006777179719202968
0.0,1.0,-0.014101745709597387,-0.010133320279968959,-0.006583862651535467
0.0,2.0,-0.013345088900262486,-0.009764583933507204,-0.006916332967427468
0.0,3.0,-0.012411588315791464,-0.009007416831192758,-0.00590360224263428
0.0,4.0,-0.01089817543528218,-0.008344699914197088,-0.006353055382573141
0.0,5.0,-0.010086131385504333,-0.007306851176060225,-0.005308601517637564
0.0,6.0,-0.009203505765804986,-0.006376747846244052,-0.004462083584556261
0.0,7.0,-0.006649512012028867,-0.005243282270759785,-0.004105420629093035
0.0,8.0,-0.004662223152563892,-0.004245878301699283,-0.0038127909792693444
0.0,9.0,-0.003378278605106212,-0.003782810561750301,-0.0029207486411232195
0.0,10.0,-0.004936520390364516,-0.0025945459539359053,-0.0025434867987555307
0.0,11.0,-0.003110049531730227,-0.002995685463372622,-0.0027673109557652077
0.0,12.0,-0.003767693353556616,-0.003457565132460917,-0.0031966228371251354
0.0,13.0,-0.004998584411391791,-0.001797984173575432,0.0
1.0,1.0,-0.012981384108017559,-0.010218945405207173,-0.006948249987384937
1.0,2.0,-0.013382831557727813,-0.010232059501826905,-0.007002111140327261
1.0,3.0,-0.013725516208637193,-0.009924829777927097,-0.006984522971603943
1.0,4.0,-0.013253086234494435,-0.009576977275877713,-0.007256652322053645
1.0,5.0,-0.013446862466642662,-0.009352181546554036,-0.006325033458728978
1.0,6.0,-0.012927525465343424,-0.008623104760857507,-0.006195899701804366
1.0,7.0,-0.011692027802757202,-0.008415674864366578,-0.005367441084707748
1.0,8.0,-0.010460251523740239,-0.00792497262929241,-0.004827361930805169
1.0,9.0,-0.009262729236320606,-0.007369305969864757,-0.00457591201510425
1.0,10.0,-0.008787196891605134,-0.007046506047984959,-0.004330863127543806
1.0,11.0,-0.007786852927023401,-0.005189757627306327,-0.0040902232936267414
1.0,12.0,-0.006825328498472772,-0.00529623590668684,-0.003937066401035489
1.0,13.0,-0.007514329569045532,-0.003714866838053515,0.0
2.0,2.0,-0.011258265467690732,-0.007980760506038123,-0.005648822477452674
2.0,3.0,-0.01184334014677088,-0.009004864405460729,-0.005942793041715097
2.0,4.0,-0.012771394976750521,-0.009692355951863551,-0.006165409922776994
2.0,5.0,-0.012500207562003467,-0.0090471955714623,-0.005979165161611641
2.0,6.0,-0.012369683435891796,-0.008918391522572197,-0.005477414675187201
2.0,7.0,-0.01229322044466922,-0.008589078520492342,-0.005156261283369508
2.0,8.0,-0.011494325240681884,-0.008320935048382999,-0.004853325161926033
2.0,9.0,-0.011785195206757384,-0.00880473872655594,-0.004740083036629871
2.0,10.0,-0.011209919570979159,-0.0076308831673244275,-0.004861939603470057
2.0,11.0,-0.010163519288623897,-0.0077005986842744335,-0.004433155705348355
2.0,12.0,-0.009509534182875022,-0.007858805052299602,-0.004514011793350529
2.0,13.0,-0.007462612487906586,-0.003731284833026223,0.0
3.0,3.0,-0.008100871536211165,-0.005769718939488689,-0.003934559448993218
3.0,4.0,-0.010186717607443475,-0.00674592679565947,-0.005092604171422731
3.0,5.0,-0.011766983744427782,-0.007919545852947033,-0.005322260975213977
3.0,6.0,-0.011612074751989885,-0.00855700423405039,-0.0055867025084604845
3.0,7.0,-0.011963958121747041,-0.007871237324307882,-0.005158262549460166
3.0,8.0,-0.011820189819348213,-0.008274337606988525,-0.0050957733953420434
3.0,9.0,-0.01169101679952946,-0.00791079570171742,-0.005043879743321959
3.0,10.0,-0.010979783720733197,-0.007564603372381859,-0.004902361739652959
3.0,11.0,-0.011049695277637241,-0.00715928637255027,-0.004135055599118817
3.0,12.0,-0.00863331747319653,-0.0069858795836437405,-0.0038115330437013322
3.0,13.0,-0.007358871305373744,-0.0036794356526904308,0.0
4.0,4.0,-0.00417187784364613,-0.0033545181221549146,-0.003038929920336377
4.0,5.0,-0.0056695231269477415,-0.005132439025311009,-0.0043933509197213085
4.0,6.0,-0.010239821438122578,-0.00666701175240334,-0.005361666333767309
4.0,7.0,-0.011332896053008738,-0.007221003167573711,-0.005234266083346045
4.0,8.0,-0.01099700736965999,-0.008358819058569519,-0.004774106585157205
4.0,9.0,-0.01094839835035995,-0.00799316876761492,-0.004633320368183764
4.0,10.0,-0.011225074211616714,-0.007934488385124637,-0.004846282832211569
4.0,11.0,-0.010498224347373372,-0.008119986691673397,-0.0036926045549148215
4.0,12.0,-0.009225816233405995,-0.0073431885345809555,-0.003236292608922757
4.0,13.0,-0.007256564922782993,-0.0036282824613914967,0.0
5.0,5.0,-0.003557054985080513,-0.002251513454089849,-0.0019795434175148736
5.0,6.0,-0.0036431987403433355,-0.0038000417427335575,-0.0033138552062370232
5.0,7.0,-0.004820860720630182,-0.004913922897453399,-0.004694356044864271
5.0,8.0,-0.009233381076281312,-0.00577675610834506,-0.004297931188356734
5.0,9.0,-0.01013295691258809,-0.006166114131118424,-0.0047820941336450045
5.0,10.0,-0.01045163765633083,-0.007725320760762374,-0.004754177946445165
5.0,11.0,-0.010571186335860737,-0.007333326627952567,-0.0040011738553263395
5.0,12.0,-0.011900988021136757,-0.006739999815751549,-0.0030457754354266944
5.0,13.0,-0.007155680850140309,-0.003577840425070149,0.0
6.0,6.0,-0.001287297347947912,-0.0010896065573952627,-7.087498300413444e-05
6.0,7.0,-0.0019008076181580452,-0.002458956697936175,-0.0018813234367051988
6.0,8.0,-0.004255808902128951,-0.0034520887259339816,-0.0026519408994446375
6.0,9.0,-0.005491001471817638,-0.004833501969136157,-0.0035362914714125596
6.0,10.0,-0.008547813866750482,-0.0051801209766622735,-0.0040445071226050035
6.0,11.0,-0.00853517892638039,-0.006590232689770159,-0.004123585916733219
6.0,12.0,-0.010549990483332968,-0.0067372172987561485,-0.00347911926673635
6.0,13.0,-0.007056199313851675,-0.00352809965692499,0.0
7.0,7.0,-0.0013741448491934045,0.0,0.0
7.0,8.0,-0.0012765681684679194,-0.0008250976370868879,-0.0006217086777045533
7.0,9.0,-0.002932852002577188,-0.0022137585068244133,-0.001757944182539209
7.0,10.0,-0.004391104197706611,-0.0033911019143307132,-0.003193641629402451
7.0,11.0,-0.006756812597393578,-0.004115091020053462,-0.003373450937075474
7.0,12.0,-0.007141556536686353,-0.005245013776215336,-0.004178058792464089
7.0,13.0,-0.006958100043690109,-0.0034790503281839917,0.0
8.0,8.0,-0.0007578604543468501,0.0,0.0
8.0,9.0,-0.0018844390824209205,-0.0016820314856911918,-0.0001349225151765956
8.0,10.0,-0.002795388696933991,-0.001510260055325426,-0.0011115441224430218
8.0,11.0,-0.003157344929817077,-0.0030118255466190886,-0.0024858453938596415
8.0,12.0,-0.005829724523769911,-0.003781820388272553,-0.0024999342590523717
8.0,13.0,-0.006801480373040321,-0.003425689435341975,0.0
9.0,9.0,0.0,0.0,0.0
9.0,10.0,-0.0018847721532824588,0.0,0.0
9.0,11.0,-0.0012740017113309237,-0.0016082249985723365,-7.139058492572715e-05
9.0,12.0,-0.005327858867027081,-0.0019922383336120454,-0.0005197120890528469
9.0,13.0,-0.005046155895637727,-0.0028752197722056285,0.0
10.0,10.0,0.0,0.0,0.0
10.0,11.0,0.0,0.0,0.0
10.0,12.0,-0.0006625372294791216,-0.0003312686147395608,-0.0001237639787650649
10.0,13.0,-0.0027322149296000924,-0.001563092348414556,0.0
11.0,11.0,0.0,0.0,0.0
11.0,12.0,0.0,0.0,0.0
11.0,13.0,0.0,-0.00032895783161301646,0.0
12.0,12.0,0.0,0.0,0.0
12.0,13.0,0.0,0.0,0.0
13.0,13.0,0.0,0.0,0.0
